config,universe,cagr,sharpe,max_dd,total_return
taker_baseline,top50,0.23143422665283442,1.3251282102133162,-0.18303737759809524,3.299064349474527
taker_min_0.50,top50,0.1330987694970065,0.5095892733697756,-0.9261404444805006,1.3997816771158762
taker_min_0.60,top50,0.011622606726199747,0.2555893920451831,-0.09219440495230369,0.08431928139129075
entry_10d,top50,0.3262323945253418,1.2740167419326145,-0.28078971829378285,6.2278529917957455
entry_55d,top50,0.12089288878925175,0.9950375722190685,-0.13142140271610814,1.2244383893798405
exit_5d,top50,0.2006437166078725,1.3938228440723601,-0.1396789863404274,2.6002628802865426
exit_20d,top50,0.35716041981403834,1.4643300947122295,-0.2014210069185819,7.494641285583992
max_pos_5,top50,0.49050676826183404,1.3773879248442045,-0.33834124018486966,15.379002241657389
max_pos_20,top50,0.11358984816082884,1.3251255924700887,-0.09519353331542557,1.1248724742099863
gated,top50,0.17135226698583783,1.120570695137925,-0.17094058758619657,2.028231179741324
confirm_none_top50,top50,0.08800652032814549,0.44955548056532213,-0.9309659688027646,0.805598590092502
confirm_volz_top50,top50,0.23607432068602607,0.6538813455691557,-0.8646281860894758,3.4138385411821135
