label,total_return,sharpe,max_dd,n_trades,cagr
chandelier_BTC_atr4.0_trend50,14.54643422214697,1.1702005303290746,58.76152701131243,66.0,0.47984533133181273
chandelier_BTC_atr3.0_trend50,12.809407055129167,1.133182224193951,55.971194353992985,70.0,0.4550108176720715
ema_cross_BTC_10_100,10.682332950611029,1.058303689404049,41.04371356501399,13.0,0.4206572604707346
chandelier_BTC_atr2.0_trend50,9.862790529624501,1.0826743561518144,53.23202318471234,88.0,0.405973580634166
donchian_BTC_30_20,9.503822449270832,1.0717225455949806,43.03647504690124,31.0,0.3992409350267887
ema_cross_BTC_10_50,9.267578224788387,1.0212471302120234,50.103968762819406,27.0,0.39470161574715545
ema_cross_BTC_10_150,8.649384108787991,0.9758089965839712,43.8491766074568,15.0,0.38238511376720763
ema_cross_BTC_20_150,8.60426665117824,0.9645573700548539,47.95225838943739,10.0,0.38145997793495967
ema_cross_BTC_20_200,8.391551649363473,0.9463967510929788,52.26727563098736,10.0,0.3770474085839193
ema_cross_BTC_20_100,8.070030732482287,0.962185079228842,49.80512914097025,11.0,0.37021234518411816
ema_cross_BTC_20_50,8.041530136541502,0.9628125131513635,51.93972698927545,21.0,0.3695964906105782
ema_cross_BTC_30_200,7.82459199934861,0.9241607353674349,53.37120211840028,7.0,0.3648534592843944
ema_cross_BTC_30_50,7.341949864998734,0.9432999979557688,47.68781930443855,17.0,0.3539317917280749
ema_cross_BTC_10_200,7.106919686801181,0.9075171686333092,50.886798239612496,13.0,0.34841588075893415
vol_target_5050_BTC_ETH,6.123524192901295,0.7623214828535941,-76.58359932721159,,0.32373681643378727
donchian_BTC_30_10,5.172475634879147,0.9598596898057505,48.356795513452454,42.0,0.29691564305524776
sma200_trend_BTC_crosscheck,5.063535137739212,0.8246630099438657,64.64134800016464,28.0,0.293620987799071
ema_cross_BTC_30_100,5.054166531222913,0.8051724691552866,55.38247753465896,11.0,0.29333529229032407
buy_hold_BTC,4.649354866337943,0.7149753530666066,76.62925431645934,1.0,0.28061299536510753
donchian_BTC_55_20,4.632173563621644,0.9034783896869201,38.80468144158395,24.0,0.2800559360956858
donchian_BTC_20_10,4.569044564779005,0.8529332613270538,56.12343478126986,52.0,0.27799655320642147
ema_cross_BTC_30_150,4.564600418729586,0.7733286571880995,60.36160432071546,7.0,0.27785082440616704
buy_hold_ETH,4.454909004642966,0.710908208434928,79.30253453633334,1.0,0.2742219079437851
ema_cross_BTC_50_100,4.35703149194146,0.7624454567759914,53.59790262519866,8.0,0.2709306326290448
ema_cross_BTC_50_200,4.104458439482958,0.736325439051262,61.76998501079809,5.0,0.26219303499307767
ema_cross_BTC_50_150,4.0176925252181,0.7379215347453824,56.69009042342026,7.0,0.25910579368911657
chandelier_BTC_atr2.0_trend20,2.9597495014005237,0.6946450985898923,63.956307636682496,137.0,0.21723029864642585
donchian_BTC_55_10,2.2082145851306096,0.7177875191614156,46.65755448322118,33.0,0.1811805119307921
chandelier_BTC_atr3.0_trend20,2.1968102976854675,0.613473552181401,69.85151606884197,143.0,0.18057983202193273
chandelier_BTC_atr4.0_trend20,1.9815688032944916,0.5880366377875218,68.79726947486297,145.0,0.16888344297141922
